Rank,Title,Link,Abstract
241,Semantic Overlapping in Translational Bioinformatics Applied to the Matching between Clinical Trial Eligibility Criteria and Patient Needs.,https://www.scitepress.org/Papers/2020/94065/94065.pdf,patient enrol to a trial if they satisfy eligibility criteria. In this research we address the problem of semantic overlapping between eligibility criteria and patient  criteria and patient needs.
242,and ramucirumab after sorafenib for patients with hepatocellular carcinoma and alpha-fetoprotein 400 ng/mL: a matching-adjusted indirect comparison,https://link.springer.com/article/10.1007/s12325-021-01700-2,"Based on the results of the phase 3 CELESTIAL trial (NCT01908426), which involved patients with HCC receiving 2L or third-line (3L) treatment, cabozantinib is approved in the USA"
243,"for breast cancer patients: User acceptance of a German internet portal offering information on the disease and treatment options, and a clinical trials matching",https://bmccancer.biomedcentral.com/articles/10.1186/1471-2407-10-663,Work is in progress to expand the service by introducing a tool for cross-matching patient demographic and clinical data with trial inclusion and exclusion criteria. Integration of such
244,", busulfan, and melphalan for autologous stem-cell transplant in patients with relapsed or refractory myeloma: a phase 2 trial and matched-pair comparison with",https://www.thelancet.com/journals/lanhae/article/PIIS2352-3026(17)30080-7/fulltext,but declined to participate or had no financial coverage for ASCT in a clinical trial and  a subset of patients from this control cohort who were matched in a 12:1 ratio with the patients in
245,Syringe with nasal applicator versus syringe alone for nasal irrigation in acute rhinosinusitis: a matched-pair randomized controlled trial,https://karger.com/bmh/article/6/1/25/49473,"patients with acute upper respiratory tract diseases using a syringe with a nasal applicator for nasal irrigation. Methods: Patients  If a patient was eligible for the trial, the envelope would"
246,Strength training in patients with myotonic dystrophy and hereditary motor and sensory neuropathy: a randomized clinical trial,https://www.sciencedirect.com/science/article/pii/S0003999395806296,"myotonic dystrophy (MyD) patients and patients with hereditary motor and  , patients were individually matched and subsequently randomized for treatment allocation. In the MyD patients"
247,Allogeneic cytotoxic T-cell therapy for EBV-positive posttransplantation lymphoproliferative disease: results of a phase 2 multicenter clinical trial,https://ashpublications.org/blood/article-abstract/110/4/1123/23130,Patients receiving CTLs with closer HLA matching responded better at 6 months (P = .048).  allogeneic CTLs in a phase 2 multicenter clinical trial to treat 33 patients (31 solid organ and
248,Cyclosporin in cadaveric renal transplantation: one-year follow-up of a multicentre trial,https://www.sciencedirect.com/science/article/pii/S0140673683909789,"Each of the 232 patients in the trial was followed up at 2 weeks, 1  benefit from HLA-A/B matching in the cyclosporin group. On the contrary, the few patients in the cyclosporin group who"
249,Everolimus and sunitinib for advanced pancreatic neuroendocrine tumors: a matching-adjusted indirect comparison,https://ehoonline.biomedcentral.com/articles/10.1186/2162-3619-2-32,A matching adjusted indirect comparison was conducted in which individual patient data from the pivotal trial of everolimus (n = 410) were adjusted to match the inclusion criteria and
250,"pharmacodynamics of growth hormone in patients on chronic haemodialysis compared with matched healthy subjects: an open, nonrandomized, parallelgroup trial",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2265.2007.02962.x,The primary aim of the current trial was thus to investigate the pharmacokinetic (PK) aspects and safety of treatment with rhGH (daily subcutaneous injection) in patients with ESRD
251,"Prevention of bedside errors in transfusion medicine (PROBETM) study: a clusterrandomized, matchedpaired clinical areas trial of a simple intervention to reduce",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1537-2995.2007.01189.x,"patient identification, matching wristband identification to the blood compatibility label, matching patient  In the same study, the patient's stated identification was checked against the"
252,Transarterial Radioembolization for Hepatocellular Carcinoma with Major Vascular Invasion: A Nationwide Propensity ScoreMatched Analysis with Target Trial,https://www.sciencedirect.com/science/article/pii/S1051044321012100,The present study provides observational evidence in pragmatic and target trial cohorts that first-line TARE can impact OS in patients with HCC-MVI and gives estimates on the
253,pneumonia related mortality in patients with COPD treated with fixed combinations of inhaled corticosteroid and long acting 2 agonist: observational matched,https://www.bmj.com/content/346/bmj.f3306.long,"Results 9893 patients were eligible for matching (2738 in the fluticasone/salmeterol group;  group), yielding two matched cohorts of 2734 patients each. In these patients, 2115 (39%)"
254,Survival in daily home hemodialysis and matched thrice-weekly in-center hemodialysis patients,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3338294/,"The FHN trial and this study together suggest that frequent hemodialysis improves cardiovascular health, resulting in a modest improvement in survival. Because of possible safety"
255,Lobectomy versus total thyroidectomy for differentiated carcinoma of the thyroid: a matched-pair analysis,https://www.sciencedirect.com/science/article/pii/S0002961005803265,", randomized trial. Due to the need for long-term follow-up, such a trial has not yet been undertaken. As an alternative to such a trial, we have identified 146 patients from a consecutive"
256,UK Alcohol Treatment Trial: clienttreatment matching effects,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1360-0443.2007.02060.x,"However, none of the matching effects identified in Project MATCH was present in both aftercare and out-patient arms of the trial. Three of the four significant matching effects reported"
257,"Mutational landscape of metastatic cancer revealed from prospective clinical sequencing of 10,000 patients",https://www.nature.com/articles/nm.4333,"Genomic alterations are reported in the electronic medical record, transmitted to an institutional database (Darwin) that facilitates automated clinical trial matching and automatically"
258,Association between mortality and implantable cardioverterdefibrillators by aetiology of heart failure: a propensitymatched analysis of the WARCEF trial,https://onlinelibrary.wiley.com/doi/abs/10.1002/ehf2.12407,"Fifth, our propensity matching led to exclusion of more than half of the patients with NICM from the current analysis, and our findings therefore must be interpreted cautiously."
259,treatments in active relapsingremitting multiple sclerosis: adjusting for patient characteristics using meta-regression and matching-adjusted indirect treatment,https://www.tandfonline.com/doi/abs/10.1080/03007995.2019.1585779,individual patient data in the comparator trial population. To  patients from the index trial (ie the trial with available patient- of patients that can be used to adjust for cross-trial differences.
260,A meta-analysis of unmatched and matched patients comparing video-assisted thoracoscopic lobectomy and conventional open lobectomy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3741727/,"The estimate of the RR of each trial corresponds to the middle of the squares, and the horizontal line shows the 95% confidence interval (CI). On each line, the numbers of events as a"
261,MDS-254 A Matching-Adjusted Indirect Comparison of the Efficacy of Pegcetacoplan using PRINCE Trial Data versus Ravulizumab and Eculizumab in Complement,https://www.sciencedirect.com/science/article/pii/S2152265022014008,inhibitors have previously been conducted in this patient population. Objective: To indirectly  PNH patients. Design: Cross-trial comparisons were conducted using individual patient data
262,mindfulness-based cognitive therapy for reducing residual depressive symptoms: an open trial and quasi-experimental comparison to propensity score matched,https://www.sciencedirect.com/science/article/pii/S0005796714001557,"as compared to UDC only, we employed a propensity score matching approach. We constructed a group of case-control patients receiving UDC at KPCO, separately for the full sample"
263,transcatheter aortic valve implantation and surgical aortic valve replacement on the basis of propensity score matching among intermediate-risk surgical patients,https://www.jacc.org/doi/abs/10.1016/j.jcin.2013.01.136,"the SURTAVI trial, we conducted an analysis at 3 centers by matching patients undergoing  first, the proportion of patients undergoing TAVI who are potentially eligible for the SURTAVI"
264,Treatment of Epstein-Barr-virus-positive post-transplantation lymphoproliferative disease with partly HLA-matched allogeneic cytotoxic T cells,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(02)09672-1/fulltext,"Spontaneous remission is very unlikely to account for tumour regression in our patients; however, a larger, controlled trial is needed to assess this treatment further. The frozen bank of"
265,scaffold versus everolimus-eluting metallic stent in ST-segment elevation myocardial infarction: 1-year results of a propensity score matching comparison: the BVS,https://www.jacc.org/doi/abs/10.1016/j.jcin.2014.10.005,Patients from the EXAMINATION trial had signed informed consent to participate in that trial. Because the present analysis is based on propensity matching and no randomization was
266,Expected net benefit of clinical pharmacy in intensive care medicine: a randomized interventional comparative trial with matched beforeandafter groups,https://onlinelibrary.wiley.com/doi/abs/10.1111/jep.12289,"dataset for assessing the clinical pharmacy service, we added a before-and-after observational group by matching the study patients (B1 and B0 separately matched) with a group of"
267,clinical Trial Depleting T Lymphocytes From Donor Marrow for Matched and ismatched Allogeneic Bone Marrow Transplants,https://www.researchgate.net/profile/Robert-Moen/publication/19274327_Clinical_trial_depleting_T_lymphocytes_for_donor_marrow_for_matched_and_mismatched_allogeneic_bone_marrow_transplants/links/5673077908ae1557cf49426f/Clinical-trial-depleting-T-lymphocytes-for-donor-marrow-for-matched-and-mismatched-allogeneic-bone-marrow-transplants.pdf,HLA-Matched Recipients Nine patients with fully matched donors were entered in this study but only eight patients received fully matched allogeneic bone marrow transplants. One pa
268,Postoperative void trial failure and same-day discharge following apical pelvic organ prolapse surgery: a retrospective matched casecontrol study,https://link.springer.com/article/10.1007/s00192-022-05332-0,"trial failure following apical POP surgery between patients who underwent SDD and  trial on POD0 of 48% and on POD1 of 73%, we hypothesized that patients undergoing a void trial"
269,Tumor tissue-versus plasma-based genotyping for selection of matched therapy and impact on clinical outcomes in patients with metastatic breast cancer,https://aacrjournals.org/clincancerres/article-abstract/27/12/3404/671452,"One prospective trial (SAFIR01) utilized biopsy samples in patients with metastatic breast cancer for targeted therapy trial matching, and identified genomic alterations in 46% of"
270,Real-world management and outcomes of 7 million patients with acute coronary syndrome according to clinical research trial enrolment status: a propensity matched,https://academic.oup.com/ehjqcco/article-abstract/8/4/409/6481619,"Among ACS patients, trial enrolment was associated with significantly greater invasive care and lower mortality than among matched non-participants. Trial participants were more likely"
271,Corneal transplant follow-up study II: a randomised trial to determine whether HLA class II matching reduces the risk of allograft rejection in penetrating keratoplasty,https://bjo.bmj.com/content/106/1/42.abstract,"Methods All transplants were matched for HLA class I antigens (2 mismatches at the A and B loci) and corneas were allocated to patients by cohort minimisation to achieve 0, 1 or 2"
272,the metabolic syndrome in patients with schizophrenia: baseline results from the Clinical Antipsychotic Trials of Intervention Effectiveness (CATIE) schizophrenia trial,https://www.sciencedirect.com/science/article/pii/S0920996405003105,"of MS among US patients with schizophrenia, and perform comparisons with matched general  prevalent among patients with schizophrenia than demographically matched counterparts"
273,"Naltrexone, relapse prevention, and supportive therapy with alcoholics: an analysis of patient treatment matching.",https://psycnet.apa.org/record/1996-00478-026,"prevention, Because this study used different combinations of pharmacotherapy and psychotherapy in the same clinical trial, it is ideal for the exploration of important patient-treatment"
274,Clinical trial participation improves outcome: a matched historical cohort study,https://journals.sagepub.com/doi/abs/10.1177/1740774513496915,"In contrast, non-participant control patients in the current study were not self-selected, met all the clinical trial entry criteria, were matched to clinical trial participants, and received best"
275,Matching-adjusted indirect comparison of blinatumomab vs. inotuzumab ozogamicin for adults with relapsed/refractory acute lymphoblastic leukemia,https://link.springer.com/article/10.1007/s12325-019-0873-7,Patient-level data from the Phase 3 blinatumomab trial TOWER and published aggregated  trial INO-VATE-ALL were used to conduct matching-adjusted indirect comparisons. Patients
276,Phase I trial of prophylactic donor-derived IL-2-activated NK cell infusion after allogeneic hematopoietic stem cell transplantation from a matched sibling donor,https://www.mdpi.com/2072-6694/13/11/2673,"trial, we demonstrated the safety of donor-derived NK cell infusion as a prophylactic treatment after allo-HSCT for patients  the outcome of the patients included in the DLI-NK trial to a"
277,Allogenic peripheral stem cell transplantation from HLA-matched related donors for adult sickle cell disease: remarkable outcomes from a single-center trial,https://www.nature.com/articles/s41409-018-0111-y,consecutive patients (mean age 33.4 years) who underwent allo-PSCT from HLA-matched  All patients experienced a sustained donor cell engraftment. Full donor chimerism (total cell
278,Effects of pain neuroscience education in hospitalized patients with high tibial osteotomy: a quasi-experimental study using propensity score matching,https://link.springer.com/article/10.1186/s12891-019-2913-5,"After a single, submaximal warm-up trial, the patients performed three trials of 5-s duration each, separated by 15 s of rest. The maximum force output (kgf) from the three trials (corrected"
279,ArmAssist robotic system versus matched conventional therapy for poststroke upper limb rehabilitation: a randomized clinical trial,https://www.hindawi.com/journals/bmri/2017/7659893/abs/,"We conducted a single-blind (evaluator), twoarm parallel, randomized controlled trial in subacute stroke patients with equal allocation to the two groups. The study was approved by the"
280,Reducing bias using propensity score matching,https://link.springer.com/article/10.1007/s12350-017-1012-y,"diabetic and nondiabetic patients that may have confounded analyses of left ventricular shape. Although it cannot replace a true randomized trial, propensity score matching is a"
281,Molecular profiling for precision cancer therapies,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-019-0703-1,"may also aid in differentiating tumor-specific somatic variants from non-pathogenic DNA variations in patients for whom no available matched normal tissue or blood is available [82, 83]."
282,Estrogen replacement therapy in endometrial cancer patients:: A matched control study,https://www.sciencedirect.com/science/article/pii/S0029784400012217,"Conclusions that are more definitive would require a randomized clinical trial of sufficient  initiated accrual for a randomized, matched clinical trial of estrogen replacement therapy and"
283,secukinumab and adalimumab in ankylosing spondylitis as assessed by matching-adjusted indirect comparison: an analysis based on all pivotal phase 3 clinical trial,https://www.valueinhealthjournal.com/article/S1098-3015(17)33293-X/abstract,"METHODS: Individual patient data from the SEC arm of the MEASURE 2 trial (M2; n= 72)  the ADA arm of the ATLAS trial (n= 208). In addition to the M2 matching, a MAIC using pooled"
284,Efficacy of rFVIIIFc versus emicizumab for the treatment of patients with hemophilia A without inhibitors: Matching-adjusted indirect comparison of A-LONG and HAVEN,https://www.tandfonline.com/doi/abs/10.2147/JBM.S288283,"In HAVEN 3 the proportion of patients with <9 bleeding events in the 24 weeks before trial entry was 25.0%, 14.3%, 22.2% and 84.1% in treatments arms A to D, respectively. The"
285,rosuvastatin therapy on carotid plaque morphology and composition in moderately hypercholesterolemic patients: a high-resolution magnetic resonance imaging trial,https://www.sciencedirect.com/science/article/pii/S0002870307009465,"After 24 months, 33 patients had matched serial MRI scans to compare by reviewers blinded to clinical data, dosage, and temporal sequence of scans. Low-density lipoprotein"
286,"Restored By Platform Matching Compared With Bone-Level Implants Restored By Platform Switching: A Randomized, Controlled, Split-Mouth Trial With 3-Year Follow",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=08822786&AN=134832656&h=OZifJWid8mOE2gRxm%2FA4umBiO2tuilGZpwX1iVcS0LqsHkUeTgjRwvQDzothzI3rcIRi8xtxqAILWzQIkxYljw%3D%3D&crl=c,"were screened for eligibility; 35 subjects were incorporated in the trial (15 men  patients were excluded for the following reasons: 43 patients did not want to participate in a clinical trial,"
287,Ten-year patient-reported outcomes following total and minimally invasive unicompartmental knee arthroplasty: a propensity score-matched cohort analysis,https://link.springer.com/article/10.1007/s00167-016-4404-7,Trial (KAT) and a cohort of patients who received a minimally invasive UKA provided data. Propensity score matching was used to identify comparable patients.  of patient characteristics
288,First-line high-dose chemotherapy compared with standard-dose PEB/VIP chemotherapy in patients with advanced germ cell tumors: a multivariate and matched-pair,https://ascopubs.org/doi/abs/10.1200/JCO.1999.17.11.3450,"trial between 1993 and 1997 and 309 patients who  CT patients were fully matched to an SD-CT patient. Median follow-up was 21 months (range, 0 to 70 months) for the HD-CT patients"
289,Lansoprazole treatment of patients with chronic idiopathic laryngitis: a placebo-controlled trial,https://www.sciencedirect.com/science/article/pii/S0002927001022444,"Patients diagnosed with idiopathic chronic laryngitis were randomized to receive either lansoprazole 30 mg pobid or a matching placebo for 3 months. Before randomization, all patients"
290,Guided digital cognitive behavioral program for anxiety in primary care: Propensity-matched controlled trial,https://mental.jmir.org/2019/4/e11981,The comparison group (matched controls) included patients between 20 and 65 years of age who spoke English and had a GAD-7 score 5 at screening and a second GAD-7 score 6-
291,for stable coronary syndrome: the ISCHEMIA trial versus a single-centre matched populationa real-world analysis of patients undergoing surgical revascularization,https://academic.oup.com/ejcts/article-abstract/61/5/1155/6526432,"Among these, we selected patients matching the ISCHEMIA trial criteria. SCD patients were defined as those with a diagnosis of myocardial ischaemia by functional testing, and a"
292,Postoperative polymyxin B hemoperfusion and mortality in patients with abdominal septic shock: a propensity-matched analysis,https://journals.lww.com/ccmjournal/FullText/2014/05000/Postoperative_Polymyxin_B_Hemoperfusion_and.20.aspx,A subsequent randomized controlled trial in 64 postsurgical patients with abdominal septic shock demonstrated that two sessions of PMX with a 24-hour interval (the first starting within
293,Effects of guided care on providers' satisfaction with care: A three-year matched-pair cluster-randomized trial,https://www.liebertpub.com/doi/abs/10.1089/pop.2012.0091,Guided Care was tested in a matched-pair cluster-randomized controlled trial involving 7  ill older patients. Publications from this trial have shown that Guided Care improves patient-
294,Ensuring balanced distribution of prognostic factors in treatment outcome research.,https://www.jsad.com/doi/abs/10.15288/jsas.1994.s12.70,"trial. Using the random number generator provided with SAS, we simulated assigning 200 patients  Project MATCH: Rationale and methods for a multisite clinical trial matching patients"
295,Rate of peri-procedural stroke observed with cerebral embolic protection during transcatheter aortic valve replacement: a patient-level propensity-matched analysis,https://academic.oup.com/eurheartj/article-abstract/40/17/1334/5259357,"of 1066 matched patients, non-general anaesthesia was used significantly more in patients without CEP compared to patients  Patients included in the SENTINEL trial randomized to the"
296,Design of a stage-matched intervention trial to increase dual method contraceptive use (Project PROTECT),https://www.sciencedirect.com/science/article/pii/S1551714407000134,"participant characteristics and procedures used to assure patient safety and trial monitoring.  of the Project PROTECT trial including specific aims, study organization, patient selection,"
297,"Use of regularly scheduled albuterol treatment in asthma: genotype-stratified, randomised, placebo-controlled cross-over trial",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(04)17273-5/fulltext,"potential matching patients was extended to the entire network. Pairs of patients, matched by  in Arg/Arg patients, both in our initial open-label run-in (when patients discontinued most of"
298,Clinical evaluation of a doubleblind dustmite avoidance trial with miteallergic rhinitic patients,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2222.1991.tb00802.x,trial with matched pairs. Twenty subjects with persisting rhinitic complaints were selected. They lived in 20 different dwellings and were all sensitized to pyroglyphid mites; 12 ofthem
299,Phase I trial of interleukin-2 after unmodified HLA-matched sibling bone marrow transplantation for children with acute leukemia,https://ashpublications.org/blood/article-abstract/87/4/1249/124414,"who received L-2 for relapsed leukemia 3 months after BMT and did not develop GVHD.34,3s This trial represents the first series of patients treated with IL-2 as consolidative immuno"
300,Matching-adjusted indirect treatment comparison in patients with radioiodine-refractory differentiated thyroid cancer,https://www.tandfonline.com/doi/abs/10.2147/CER.S97885,"in the absence of head-to-head studies, we used the MAIC approach to compare results from the SELECT trial, for which individual patient-level data were available, and the DECISION"
301,A matching-adjusted indirect comparison of sonidegib and vismodegib in advanced basal cell carcinoma,https://www.hindawi.com/journals/jsc/2017/6121760/abs/,"Before performing the MAIC, we conducted a critical review and comparison of the BOLT and ERIVANCE trial designs, outcome definitions, and baseline patient characteristics to"
302,Treatment matching: Theoretic basis and practical implications,https://www.sciencedirect.com/science/article/pii/S0025712505705575,"to matching patients to addictions treatment are (1) matching  109, 126 This approach matches the dose to the patient's acute signs and  A double-blind, randomized trial compared these"
303,implications in the pregnancy rates of patients with otherwise unexplained primary infertility undergoing hysteroscopic myomectomy: a randomized matched,https://www.sciencedirect.com/science/article/pii/S0015028209007456,", age- matched control trial to discover whether hysteroscopic my- omectomy in women with otherwise unexplained infertility affects pregnancy rates. MATERIALS AND METHODS From"
304,Matching the standards of clinical trial evidence with application in practice,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1742-1241.2002.tb11374.x,"For the present, we can recommend only proven treatments for patients, as judged from clinical trial data strictly in accordance with the trial eligibility criteria, accepting that we are"
305,Public reporting improves antibiotic prescribing for upper respiratory tract infections in primary care: a matched-pair cluster-randomized trial in China,https://health-policy-systems.biomedcentral.com/articles/10.1186/1478-4505-12-61,"Prescription statistics were disclosed to patients, health  regression models, controlling for patient attributes as well as  driven by a significant reduction in male patients (-7.5%, 95% CI -"
306,A propensity score matched comparison of blood pressure lowering in essential hypertension patients treated with antihypertensive Chinese herbal Medicine,https://www.tandfonline.com/doi/abs/10.1080/10641963.2023.2249269,"matching method was performed. After PSM matching, we obtained a pooled cohort of 552 patients (276 from the real-world cohort and 276 from the RCT trial) which was balanced ("
307,Chronic kidney disease associated mortality in diastolic versus systolic heart failure: a propensity matched study,https://www.sciencedirect.com/science/article/pii/S0002914906020674,"matched 2,399 pairs of patients  trial, which was conducted from 1991 to 1993 in the United States and Canada. A detailed description of the rationale, design, and results of the DIG trial"
308,Hypokalemia and outcomes in patients with chronic heart failure and chronic kidney disease: findings from propensity-matched studies,https://www.ahajournals.org/doi/abs/10.1161/CIRCHEARTFAILURE.109.899526,"Of the 7788 patients with chronic HF in the Digitalis Investigation Group trial, 2793 had  a balanced cohort of 522 pairs of patients with hypokalemia and normokalemia. All-cause"
309,Effect of rimonabant on progression of atherosclerosis in patients with abdominal obesity and coronary artery disease: the STRADIVARIUS randomized controlled trial,https://jamanetwork.com/journals/jama/article-abstract/181727,Normalized TAV for each patient was calculated as the mean atheroma area multiplied by the median number of matched cross-sections in pullbacks for all patients completing the trial.
310,Empowerment Programme (PEP) on clinical outcomes and health service utilization in type 2 diabetes mellitus in primary care: an observational matched,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0095328,Newly Diagnosed) trial was a group-based structured education program involving 824 patients with newly diagnosed diabetes in the UK. Although the trial reported positive impacts of
311,Acute kidney injury in patients on SGLT2 inhibitors: a propensity-matched analysis,https://diabetesjournals.org/care/article-abstract/40/11/1479/37010,"and build upon the clinical trial data by the  matching and additional adjustment, in two large health care systems that are free from the selection bias and Hawthorne effect of clinical trial"
312,Is atezolizumab plus bevacizumab for unresectable hepatocellular carcinoma superior even to lenvatinib? A matching-adjusted indirect comparison,https://link.springer.com/article/10.1007/s11523-021-00803-8,in the same patient setting. The aim of the present report was to apply a matching-adjusted  The standard dosing schedule of lenvatinib used in the REFLECT trial (8 mg/day to patients
313,Do gender and racial differences between patient and therapist affect therapeutic alliance and treatment retention in adolescents?,https://psycnet.apa.org/record/2005-09654-008,a large randomized clinical trial were grouped according to matches and mismatches on  from both patients and therapists. Results revealed that gender-matched dyads reported higher
314,Antifibrotic treatment improves clinical outcomes in patients with idiopathic pulmonary fibrosis: a propensity score matching analysis,https://www.nature.com/articles/s41598-020-72607-1,"However, these results bear a fundamental limitation in that they were based on clinical trial data; the patients evaluated were a pharmaceutical cohort selected according to strict"
315,A Matching-Adjusted Indirect Comparison of the Efficacy of Pegcetacoplan Using Prince Trial Data Versus Ravulizumab and Eculizumab in Complement Inhibitor,https://ashpublications.org/blood/article/140/Supplement%201/11435/490504,inhibitor-nave patients with PNH. The objective of the study is to perform cross-trial comparisons of PEG against both RAV and ECU using unanchored matching-adjusted indirect
316,Forced diuresis with matched hydration in reducing acute kidney injury during transcatheter aortic valve implantation (Reduce-AKI): study protocol for a,https://link.springer.com/article/10.1186/1745-6215-15-262,"It includes a computer system that weighs the urine of the patient, calculates the urine rate (ml/min) and infuses matched IV normal saline into the patient, maintaining the initially"
317,A comparison of duloxetine plasma levels in postbariatric surgery patients versus matched nonsurgical control subjects,https://journals.lww.com/psychopharmacology/fulltext/2013/08000/A_Comparison_of_Duloxetine_Plasma_Levels_in.5.aspx,Ten PBS and 10 matched NSC subjects were enrolled into the trial between February 2009 and April 2010. No significant differences between groups were present in the baseline
318,-versus-host disease prophylaxis for patients with acute myeloid leukemia in complete remission undergoing HLA-matched sibling allogeneic hematopoietic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3434978/,outcomes of patients treated on the BMT CTN CD34 + selection TCD trial to outcomes of a similar cohort of patients enrolled onto a different but contemporaneous BMT CTN trial who
319,Cardiac and vascular morbidity in women receiving adjuvant tamoxifen for breast cancer in a randomised trial,https://www.bmj.com/content/311/7011/977.abstract,all relevant admissions to Scottish hospitals of trial patients after their mastectomy.  matching items. A probability based score was used to measure the likelihood of two records matching
320,similarities and differences in major natural history endpoints of heart failure after acute myocardial infarction: a propensity-matched study of the EPHESUS trial,https://www.sciencedirect.com/science/article/pii/S0167527309002927,"patients from North America and Europe, we assembled a propensity-matched population in which patients  protocol, described elsewhere in detail, we matched 298 pairs of patients"
321,following treatment failure of two prior tyrosine kinase inhibitors in patients with chronic phase chronic myeloid leukemia: a matching-adjusted indirect comparison,https://www.tandfonline.com/doi/abs/10.1080/03007995.2018.1510225,"For ponatinib, we had access to the most recent individual-patient-level data on file from the PACE trial available at the time the MAIC was conductedCitation 29 . This dataset had a cut-"
322,Matching-adjusted indirect comparison of phase 3 clinical trial outcomes: OC-01 (varenicline solution) nasal spray and cyclosporine a 0.05% ophthalmic emulsion for,https://www.jmcp.org/doi/abs/10.18553/jmcp.2022.22005,"patient data were drawn from the phase 3 registry trial of OC- Using unanchored MAIC methods, the individual patient data  OC-01 VNS dataset matched to the key demographics of the"
323,Comparison of follow-up length-matched single-center myelomeningocele postnatal closure cohort to the Management of Myelomeningocele Study (MOMS) trial,https://karger.com/pne/article-abstract/56/3/229/277753,"They reported that only 70.5% of their patients would have been eligible for the MOMS trial, which is slightly higher than our reported percentage of 60.5%. The sociodemographic"
324,Adverse outcomes after total and unicompartmental knee replacement in 101 330 matched patients: a study of data from the National Joint Registry for,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(14)60419-0/fulltext,"This study shows a significantly higher risk of revision/reoperation in patients undergoing UKR than for matched patients undergoing TKR. However, patients undergoing TKR are at"
325,Daclatasvir and sofosbuvir versus sofosbuvir and ribavirin in patients with chronic hepatitis C coinfected with HIV: a matching-adjusted indirect comparison,https://www.sciencedirect.com/science/article/pii/S0149291816000023,"patients coinfected with HIV and HCV.6, 7 In a recent clinical trial of 12 weeks of DCV+SOF, 97% of patients  SOF+R in patients coinfected with HIV and HCV using a matching-adjusted"
326,Measurable residual disease guided therapy in intermediate-risk AML patients compared to an unguided cohort using propensity score matching,https://ashpublications.org/blood/article/140/Supplement%201/2027/489937,"-risk group of patients treated in this trial, no significant  -positive and MRD-negative patients was observed indicative of  patients were matched to the AML132 MRD-guided patients"
327,", fixed-ratio combination of insulin glargine and lixisenatide, compared with basal-bolus regimen in patients with type 2 diabetes: propensity score matched",https://link.springer.com/article/10.1007/s13300-019-00735-7,"in a post hoc propensity score matched analysis using randomized trial data.  one trial with the outcomes of 195 patients who took basal-bolus insulin in the other trial, after matching"
328,A propensity score matched comparison of clinical outcomes in atrial fibrillation patients taking vitamin K antagonists: comparing the real-world vs clinical trials,https://www.sciencedirect.com/science/article/pii/S0025619618301174,"a trial population, we included patients from the AMADEUS trial. The design of the AMADEUS trial has  in patients with nonvalvular AF with indication for long-term anticoagulation. This"
329,Liver Transplantation After Ex Vivo Normothermic Machine Preservation: A Phase 1 (FirstinMan) Clinical Trial,https://onlinelibrary.wiley.com/doi/abs/10.1111/ajt.13708,"In this Phase 1, nonrandomized, prospective trial, the outcomes of the recipients of 20 consecutive NMP donor livers were compared to those of matched control patients who received"
330,versus open lobectomy for lung cancer: a secondary analysis of data from the American College of Surgeons Oncology Group Z0030 randomized clinical trial,https://www.sciencedirect.com/science/article/pii/S0022522309016031,"matching 12 to compare the short-term clinical outcomes of 2 groups of patients who enrolled in the trial pain were not collected in patients enrolled in the Z0030 trial; therefore, we"
331,Late outcomes comparison of nonelderly patients with stented bioprosthetic and mechanical valves in the aortic position: a propensity-matched analysis,https://www.sciencedirect.com/science/article/pii/S002252231400018X,"a clinical trial, we effectively matched 722 patients (361  AVRs, we derived a matched group of 361 patient-pairs with  This suggests evenly matched patient-pairs capable of producing"
332,The effect of therapist/patient raceand sexmatching in individual treatment,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1360-0443.2001.967101511.x,and patient similarity plays in treatment outcome led us to examine the impact of race and sexmatching  Patient and therapist characteristics were crossed in a 2  2 factorial design.
333,A controlled trial of physician counseling to promote the adoption of physical activity,https://www.sciencedirect.com/science/article/pii/S009174359690050X,a booster phone call matched to the patients needs produced meaningful increases in physical activity among initially sedentary patients. Sedentary patients who received the PACE
334,A matching-adjusted indirect comparison of pembrolizumab+ chemotherapy vs. nivolumab+ ipilimumab as first-line therapies in patients with PD-L1 TPS 1,https://www.mdpi.com/2072-6694/12/12/3648,"for previously untreated metastatic NSCLC patients, irrespective of tumor PD-L1 expression [3,4]. In the phase II KEYNOTE-021 Cohort G (KN021G) trial of patients with advanced non"
